source,target,tgt_lng
Helldiver,绝地潜兵,zh-CN
Helldivers,绝地潜兵,zh-CN
SEAF,超级地球武装部队,zh-CN
S.E.A.F.,超级地球武装部队,zh-CN
Super Earth Federation,超级地球联邦,zh-CN
Federation of Super Earth,超级地球联邦,zh-CN
Super Earth,超级地球,zh-CN
super earth,超级地球,zh-CN
Stratagem,战略配备,zh-CN
Super Destroyer,超级驱逐舰,zh-CN
Escalation of Freedom,“自由升级”,zh-CN
Omens of Tyranny,“暴政预兆”,zh-CN
Heart of Democracy,“民主之心”,zh-CN
Into the Unjust,“天上为公”（“正义未至之境”）,zh-CN
Termind Control System,终结族控制系统,zh-CN
TCS,终结族控制系统,zh-CN
Free,解放,zh-CN
Meridia,默里迪亚,zh-CN
Meridian Singularity,默里迪恩奇点,zh-CN
Meridian,默里迪恩,zh-CN
Meridian Wormhole,默里迪恩虫洞,zh-CN
Malevelon Creek,麦拉芬蒙河,zh-CN
Patrol,巡逻队,zh-CN
Terminids,终结族,zh-CN
The Terminids,终结族,zh-CN
Automatons,机器人,zh-CN
The Automatons,机器人,zh-CN
Automaton Legion,机器人集体,zh-CN
Jet Brigade,喷气旅,zh-CN
Incineration Corps,焚化军团,zh-CN
Illuminate,光能者,zh-CN
The Illuminate,光能者,zh-CN
The Illuminate Cult,光能者邪教,zh-CN
Bile Spitter,吐酸食腐虫,zh-CN
Pouncer,猛扑虫,zh-CN
Scavenger,食腐虫,zh-CN
Alpha Warrior,阿尔法武斗虫,zh-CN
Bile Warrior,吐酸武斗虫,zh-CN
Hunter,追猎虫,zh-CN
Warrior,武斗虫,zh-CN
Alpha Commander,阿尔法指挥官,zh-CN
Brood Commander,虫族指挥官,zh-CN
Hive Guard,虫巢守卫,zh-CN
Charger,强袭虫,zh-CN
Charger Behemoth,巨兽级强袭虫,zh-CN
Spore Charger,孢子强袭虫,zh-CN
Impaler,穿刺虫,zh-CN
Bile Spewer,胆汁喷涌虫,zh-CN
Nursing Spewer,抚育喷涌虫,zh-CN
Shrieker,尖啸虫,zh-CN
Stalker,追踪虫,zh-CN
Bile Titan,吐酸泰坦,zh-CN
Hive Lord,霸王虫,zh-CN
Predator Strain,掠食变种,zh-CN
Predator Hunter,掠食追猎虫,zh-CN
Predator Stalker,掠食追踪虫,zh-CN
Spore Burst Strain,孢裂变种,zh-CN
Spore Burst Scavenger,孢裂食腐虫,zh-CN
Spore Burst Hunter,孢裂追踪虫,zh-CN
Spore Burst Warrior,孢裂武斗虫,zh-CN
Rupture Strain,钻地变种,zh-CN
Rupture Charger,钻地强袭虫,zh-CN
Rupture Spewer,钻地喷涌虫,zh-CN
Rupture Warrior,钻地武斗虫,zh-CN
Terminid Nest,终结族巢穴,zh-CN
Bug Hole,虫洞,zh-CN
Stalker Lair,追踪虫巢穴,zh-CN
Shrieker Nest,尖啸虫巢穴,zh-CN
Spore Spewer,孢子喷涌虫,zh-CN
Infested Tower,侵染塔巢,zh-CN
Terminid Eggs,虫卵,zh-CN
Mutated Eggs,变异虫卵,zh-CN
Bile Titan Nest,泰坦巢,zh-CN
Bug Mine,孢子雷,zh-CN
Mega Nest,超巨巢穴,zh-CN
Hive World,虫窝世界,zh-CN
Brawler,奇袭者,zh-CN
Commissar,机械统帅,zh-CN
Marauder,劫掠者,zh-CN
MG Raider,机枪兵,zh-CN
Rocket Raider,火箭兵,zh-CN
Scout Strider,侦查纵步者,zh-CN
Trooper,装甲兵,zh-CN
Berserker,狂暴者,zh-CN
Devastator,蹂躏者,zh-CN
Heavy Devastator,重型蹂躏者,zh-CN
Reinforced Scout Strider,强化侦查纵步者,zh-CN
Rocket Devastator,火箭蹂躏者,zh-CN
Hulk,巨型者,zh-CN
Hulk Bruiser,毁灭巨型者,zh-CN
Hulk Obliterator,湮灭者,zh-CN
Hulk Scorcher,焚化巨型者,zh-CN
Barrager Tank,铁幕坦克,zh-CN
Annihilator Tank,湮灭坦克,zh-CN
Shredder Tank,碎裂坦克,zh-CN
War Strider,战争纵步者,zh-CN
Dropship,运输艇,zh-CN
Gunship,炮舰,zh-CN
Factory Strider,移动工厂,zh-CN
Assault Raider,突击装甲兵,zh-CN
Jet Brigade Devastator,喷气蹂躏者,zh-CN
Jet Brigade Hulk,喷气巨型者,zh-CN
Conflagration Devastator,烈焰蹂躏者,zh-CN
Hulk Firebomber,烈焰巨型者,zh-CN
Incendiary MG Devastator,烈焰重型蹂躏者,zh-CN
Incendiary Rocket Devastator,烈焰火箭蹂躏者,zh-CN
Pyro Trooper,烈焰装甲兵,zh-CN
Automaton Outpost,机器人前哨站,zh-CN
Automaton Fabricator,机器人构筑者,zh-CN
Bulk Fabricator,巨型构筑者,zh-CN
Detector Tower,探测塔,zh-CN
Mortar Emplacement,迫击炮阵地,zh-CN
Anti-Air Emplacement,防空阵地,zh-CN
Stratagem Jammer,战略配备干扰装置,zh-CN
Gunship Facility,炮舰设施,zh-CN
Cannon Turret,炮塔,zh-CN
Bunker Turret,碉堡炮塔,zh-CN
Voteless,无票者,zh-CN
Crescent Overseer,新月监视者,zh-CN
Elevated Overseer,崇高监视者,zh-CN
Overseer,监视者,zh-CN
Watcher,守望者,zh-CN
Fleshmob,肉瘤体,zh-CN
Harvester,猎杀器,zh-CN
Leviathan,利维坦,zh-CN
Stingray,刺魟,zh-CN
Warp Ship,跃迁舰,zh-CN
Illuminate Overship,光能者统御舰,zh-CN
Overship,统御舰,zh-CN
Gazer,凝视者,zh-CN
Cognitive Disruptor,感知干扰器,zh-CN
Monolith,巨石,zh-CN
Grounded Warp Ship,着陆的跃迁舰,zh-CN
Lightning Spire,闪电尖塔,zh-CN
Democracy Officer,民主官,zh-CN
Ship Master,舰长,zh-CN
Service Technician,维修技术员,zh-CN
Civilian,公民,zh-CN
SEAF Soldier,超级地球武装部队战士,zh-CN
Galactic War,星系战争,zh-CN
Factions,派系,zh-CN
Major Order,重要指令,zh-CN
Mission Control,任务调度员,zh-CN
Pelican,鹈鹕,zh-CN
Pelican-1,鹈鹕一号,zh-CN
Liberation Campaign,解放战役,zh-CN
Defense Campaign,保卫战役,zh-CN
High-Priority Campaign,高优先级战役,zh-CN
Invasion Campaign,入侵战役,zh-CN
Main Objectives,主要目标,zh-CN
Primary Objectives,主要目标,zh-CN
Terminate Illegal Broadcast,关停非法广播,zh-CN
Pump Fuel To ICBM,将油泵送至洲际弹道导弹,zh-CN
Upload Escape Pod Data,上传逃生舱的数据,zh-CN
Spread Democracy,传播民主,zh-CN
Conduct Geological Survey,开展地质调查,zh-CN
Launch ICBM,发射洲际弹道导弹,zh-CN
Retrieve Valuable Data,检索有价值的数据,zh-CN
Blitz: Search and Destroy,闪电战：搜索与摧毁,zh-CN
Emergency Evacuation,紧急撤离,zh-CN
Retrieve Essential Personnel,疏散科学团队,zh-CN
Evacuate High-Value Assets,撤离高价值资产,zh-CN
Eliminate Brood Commanders,消灭虫族指挥官,zh-CN
Eliminate Chargers,消灭强袭虫,zh-CN
Eliminate Impaler,消灭穿刺虫,zh-CN
Eliminate Bile Titans,消灭吐酸泰坦,zh-CN
Activate E-710 Pumps,启动燃料泵,zh-CN
Purge Hatcheries,清除虫卵,zh-CN
Enable E-710 Extraction,设法采油,zh-CN
Nuke Nursery,用核弹清除繁育腔室,zh-CN
Activate Terminid Control System,激活终结族控制系统,zh-CN
Deactivate Terminid Control System,停用终结族控制系统,zh-CN
Deploy Dark Fluid,部署暗流体,zh-CN
Eradicate Terminid Swarm,彻底消灭终结族虫群,zh-CN
Destroy Transmission Network,摧毁传输网络,zh-CN
Eliminate Devastators,消灭蹂躏者,zh-CN
Eliminate Automaton Hulks,消灭机器人巨型者,zh-CN
Eliminate Automaton Factory Strider,消灭机器人移动工厂,zh-CN
Sabotage Air Base,破坏空运能力,zh-CN
Eradicate Automaton Forces,彻底摧毁机器人部队,zh-CN
