source,target,tgt_lng
notlara,adelaine阿德莱恩,zh-CN
notlaura,adelaine阿德莱恩,zh-CN
notchell,Chelsea切尔西,zh-CN
pams,帕姆+丽萨爆发流,zh-CN
PamSpam,帕姆+丽萨爆发流,zh-CN
pam spam,帕姆+丽萨爆发流,zh-CN
Stunlock,锁死姐妹流,zh-CN
Stunlock Sisters,锁死姐妹流,zh-CN
WAIFU,W.A.I.F.U属性,zh-CN
WAI,W.A.I属性,zh-CN
shroom,突袭中的蘑菇怪,zh-CN
Fuckyoushroom,突袭中的蘑菇怪(3132命名),zh-CN
Force Close,强退大法,zh-CN
Credits,信用点,zh-CN
Chrome Readjuster,闪亮合金校准器,zh-CN
Free,免费,zh-CN
Entry Bands,泳池手环,zh-CN
Lady Judith Trust,朱迪丝信任任务,zh-CN

Adah,阿达,zh-CN
Adelaine,阿德莱恩,zh-CN
Allura,阿露拉,zh-CN
Amelia,阿米莉亚,zh-CN
Andrea,安德烈亚,zh-CN
Ann,安,zh-CN
Ashley,艾希莉,zh-CN
Autumn,奥特姆,zh-CN
Banka,班卡,zh-CN
Beatrix,碧翠丝,zh-CN
Carmilla,卡米拉,zh-CN
Catherine,凯瑟琳,zh-CN
CB-69,CB-69,zh-CN
Chelsea,切尔西,zh-CN
Cloe,克洛伊,zh-CN
Crazy,克蕾齐,zh-CN
Dahia,达希亚,zh-CN
Desiderata,德西德拉塔,zh-CN
Devi,黛维,zh-CN
Diana,黛安娜,zh-CN
Eleanor,埃莉诺,zh-CN
Emily,艾米莉,zh-CN
Foxy,福克希,zh-CN
Frozen,弗罗赞,zh-CN
Gaia,盖亚,zh-CN
Guinevere,桂妮薇儿,zh-CN
Harriet,哈里特,zh-CN
Irma,厄玛,zh-CN
Jane,简,zh-CN
Jasmine,茉莉,zh-CN
Karin,卡琳,zh-CN
Kiara,琪亚拉,zh-CN
Kim,金,zh-CN
Kriss,克丽丝,zh-CN
Lady Judith,朱迪丝,zh-CN
Lane,莱恩,zh-CN
Liza,丽莎,zh-CN
Makeda,马基达,zh-CN
Maria,玛丽亚,zh-CN
Martha,玛莎,zh-CN
Martina,玛蒂娜,zh-CN
Milena,米莲娜,zh-CN
Momoka,桃香,zh-CN
Olivia,奥利维亚,zh-CN
PAIN,佩恩,zh-CN
PamOne,帕姆1,zh-CN
PamTwo,帕姆2,zh-CN
Pearl,珀尔珍珠,zh-CN
Pink,粉红,zh-CN
Reznor,雷兹诺,zh-CN
Rhode,罗德,zh-CN
Samantha,萨曼莎,zh-CN
Sara,萨拉,zh-CN
Sonia,索尼娅,zh-CN
Sophie,苏菲,zh-CN
Stella,斯特拉,zh-CN
Sybil,西比尔,zh-CN
Tess,泰丝,zh-CN
Trixie,翠克希,zh-CN
Veneza,威妮莎,zh-CN
XX,XX,zh-CN


Army Bottom,军队下装,zh-CN
Army Top,军队上衣,zh-CN
Gaia's Bottom,盖亚的下装,zh-CN
Veneza’s Top,威妮莎的上衣,zh-CN
Space Leggings,太空紧身裤,zh-CN
Liza’s Wings,丽莎的翅膀,zh-CN
Flaming Leggings,燃烧紧身裤,zh-CN
Ashley’s Top,艾希莉的上衣,zh-CN
Momoka's Bottom,桃香的下装,zh-CN
Black-red Bra,黑红奶罩,zh-CN
Mechanic's Skirt,机械师短裙,zh-CN
Neon Lights (bottom),霓虹灯光（下装）,zh-CN
Neon Lights (top),霓虹灯光（上装）,zh-CN
Mechanic’s Top,机械师上衣,zh-CN
Veneza's Bottom,威妮莎的下装,zh-CN
Open Top,开襟上衣,zh-CN
Wide Bottom,宽下装,zh-CN
Barbarian Skirt,野蛮人裙,zh-CN
Barbarian Top,野蛮人上衣,zh-CN
Chelsea’s Favor,切尔西的青睐,zh-CN
Chelsea's Blessing,切尔西的祝福,zh-CN
Prisoners Panties,囚犯内裤,zh-CN
Dissolved Top,溶解上衣,zh-CN
Baseball Star (bottom),棒球明星（下装）,zh-CN
Baseball Star (top),棒球明星（上装）,zh-CN
Waifu's Special (bottom),冠军特别下装,zh-CN
Waifu’s Special (top),冠军特别上衣,zh-CN
XX's Prayer,XX的祈祷,zh-CN
XX’s Blessing,XX的祝福,zh-CN
Pain Bringers (bottom),佩恩使者（下装）,zh-CN
Pain Bringers (top),佩恩使者（上装）,zh-CN
Road Warrior (bottom),公路勇士（下装）,zh-CN
Road Warrior (top),公路勇士（上装）,zh-CN
Pearl's Treasury,珀尔的财宝,zh-CN
Pearl's Shell,珀尔的贝壳,zh-CN
Adah’s Cosplays,阿达的Cos服,zh-CN
Adelaide’s Comfort,阿德莱恩的舒适,zh-CN
Andrea’s Secrets,安德烈亚的秘密,zh-CN
Autumn Set,奥特姆套装,zh-CN
Beetle Brooch,甲虫胸针,zh-CN
Birthday Cupcakes,生日纸杯蛋糕,zh-CN
Subtle Top,精致上衣,zh-CN
Banka’s Bubbles,班卡的气泡,zh-CN
Branded Key Chain,烙印钥匙链,zh-CN
Casual Dress,休闲连衣裙,zh-CN
Casual Suit,休闲套装,zh-CN
Catherine's Bandages,凯瑟琳的绷带,zh-CN
CB-69's Armour,CB-69的护甲,zh-CN
Brooch,胸针,zh-CN
Chelsea’s Bodysuit,切尔西的连体衣,zh-CN
Chivalry,骑士精神,zh-CN
Cat Ears,猫耳,zh-CN
Chocolate Bar,巧克力棒,zh-CN
Airy Bra,透气文胸,zh-CN
Irma's Bottom,厄玛的下装,zh-CN
Irma’s Top,厄玛的上衣,zh-CN
Cute Brooch,可爱胸针,zh-CN
Overcharged Tazer,过载电击枪,zh-CN
Tesla Gun,特斯拉枪,zh-CN
High-Volt Tazer,高压电击枪,zh-CN
Dog Treat,狗狗零食,zh-CN
Duck,鸭子,zh-CN
Lace-up Shorts,系带短裤,zh-CN
Fireaxe,消防斧,zh-CN
Formal Skirt,正装裙,zh-CN
Prototype Tesla Gun,原型特斯拉枪,zh-CN
El Patito,小鸭子,zh-CN
Explorer's Ribbon,探险者缎带,zh-CN
Classy Colours,优雅色彩,zh-CN
Business Ass,商务下装,zh-CN
Business Top,商务上衣,zh-CN
Cloe’s Sets,克洛伊的套装,zh-CN
Wire Panties,钢丝内裤,zh-CN
Full Bra,全罩杯文胸,zh-CN
Neck-tied Bra,系颈文胸,zh-CN
Small Fireaxe,小消防斧,zh-CN
Last Resort,最后手段,zh-CN
Cosmic Attire,宇宙装束,zh-CN
Hair Dye,染发剂,zh-CN
Handmade Lollipop,手工棒棒糖,zh-CN
Lollipop,棒棒糖,zh-CN
Crazy’s Sets,疯狂的套装,zh-CN
Love Cards,爱之卡片,zh-CN
Lovense Gift,震动棒,zh-CN
Emily's Underlings,艾米莉的下属装,zh-CN
Subtle Shorts,精致短裤,zh-CN
Cosmic Attire (top),宇宙装束（上衣）,zh-CN
Serpentine Top,蛇纹上衣,zh-CN
Cute Dress,可爱连衣裙,zh-CN
Dahia's Rituals,达希亚的仪式,zh-CN
Dangerous Set,危险套装,zh-CN
Domination,支配,zh-CN
XX’s Formal Shirt,XX的正式衬衫,zh-CN
Dagger,匕首,zh-CN
Makeup Kit,化妆包,zh-CN
Starfish Bra,海星文胸,zh-CN
Sea-themed Skirt,海洋主题裙,zh-CN
